Rating,ram_memory,primary_storage_capacity,display_size,processor_brand_amd,processor_brand_apple,processor_brand_intel,processor_brand_other,primary_storage_type_HDD,primary_storage_type_SSD,OS_andriod,OS_chrome,OS_dos,OS_mac,OS_other,OS_ubuntu,OS_windows,year_of_warranty_1,year_of_warranty_2,year_of_warranty_3,year_of_warranty_No information
0.5000000000000002,0.0,0.0,0.6046511627906974,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0
0.7500000000000002,0.0,0.0,0.6046511627906974,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
0.4750000000000001,0.0,0.0,0.2325581395348837,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0
0.4750000000000001,0.0,0.0,0.6046511627906974,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
0.3250000000000002,1.0,0.0,0.6046511627906974,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
0.675,0.0,0.0,0.6046511627906974,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
0.42500000000000004,0.0,0.0,0.6046511627906974,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
0.42500000000000004,0.0,0.0,0.6046511627906974,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
0.6250000000000002,1.0,0.0,0.06976744186046524,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
0.7000000000000002,1.0,0.0,0.6046511627906974,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
0.7000000000000002,1.0,0.0,0.6976744186046511,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
0.5750000000000002,1.0,0.0,0.6046511627906974,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
0.40000000000000013,1.0,0.0,0.6046511627906974,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
0.7000000000000002,1.0,0.0,0.6046511627906974,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
0.3250000000000002,0.0,0.0,0.6046511627906974,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
0.40000000000000013,0.0,0.0,0.6046511627906974,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
0.3500000000000001,0.0,0.0,0.6046511627906974,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
0.5000000000000002,1.0,0.0,0.6046511627906974,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
0.27500000000000013,0.0,0.0,0.2558139534883721,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
0.5750000000000002,1.0,0.0,0.6046511627906974,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
0.40000000000000013,0.0,0.0,0.6046511627906974,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
0.4750000000000001,1.0,0.0,0.6046511627906974,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
0.7000000000000002,0.0,0.0,0.6046511627906974,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
0.55,0.0,0.0,0.6976744186046511,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
0.5750000000000002,1.0,0.0,0.6046511627906974,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
0.42500000000000004,1.0,0.0,0.6046511627906974,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
0.4750000000000001,1.0,0.0,0.6046511627906974,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
0.7250000000000001,1.0,0.0,0.6976744186046511,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
0.8500000000000001,1.0,0.0,0.09302325581395365,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
0.7000000000000002,1.0,0.0,0.6046511627906974,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
0.7000000000000002,1.0,0.0,0.6046511627906974,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
0.7000000000000002,1.0,0.0,0.6046511627906974,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
